Description,Features,Image_urls,Images,Price,Product_Brand,Product_ID,Product_Model,Product_Name,Rating
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam Z14FX Scouting Camera Combo</b> comes with batteries and memory card included so it is ready to go when you are. The camera takes quality still photos and 5, 15, and 30 second video clips. The burst mode takes 1-6 images per triggering. The lowlight image sensor takes good quality nighttime images with 14 IR emitters. Comes with six AA batteries and one 8GB SD memory card.<br><br>The Z14FX Scouting Camera Combo offers:<ul><li>Stamps images with time, date, and moon phase</li><li>Energy-efficient design</li><li>Quick set - fast, simple setup</li><li>Intuitive menu programming</li><li>Holds up to 32GB memory cards (8GB memory card included)</li><li>Runs on six AA batteries (included)</li><li>External power jack for an optional 12V battery (not included)</li></ul><b>Features:</b><ul><li><b>Model:</b> ZX14FXCOMBO</li><li><b>Range:</b> 60 ft.</li><li><b>Photo Quality:</b> 10 megapixels</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li>Stamps images with time, date, and moon phase</li><li>Energy-efficient design</li><li>Quick set - fast, simple setup</li><li>Intuitive menu programming</li><li>Holds up to 32GB memory cards (8GB memory card included)</li><li>Runs on six AA batteries (included)</li><li>External power jack for an optional 12V battery (not included)</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/334917/73533/apiwrkb3c__72880.1561049080.jpg?c=2&imbypass=on,,$119.99,Stealth Cam,446467,NA,Stealth Cam WXA-AT&T Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam XV4X</b> is designed to take night time infared imaging to the next level, minimizing grain and maximizing available light in all conditions. It is 32 Megapixels and is an essential camera for images during the transition periods of dusk and dawn.<br><br><b>Features:</b><ul><li><b>Model:</b> STC-XV4X</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> STC-XV4X</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446452/299929/GSMSTCXV4X__31068.1573512108.jpg?c=2&imbypass=on,,$199.99,Stealth Cam,446465,NA,Stealth Cam WXV-Verizon Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam XV4WF</b> is designed to take night time infared imaging to the next level, minimizing grain and maximizing available light in all conditions. It is 30 Megapixels and is an essential camera for images during the transition periods of dusk and dawn.<br><br><b>Features:</b><ul><li><b>Model:</b> STC-XV4WF</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> STC-XV4WF</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446454/299930/GSMSTCXV4WF__43662.1573512111.jpg?c=2&imbypass=on,,$249.99,Stealth Cam,446467,NA,Stealth Cam WXA-AT&T Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam XV4</b> is designed to take night time infared imaging to the next level, minimizing grain and maximizing available light in all conditions. It is 22 Megapixels and is an essential camera for images during the transition periods of dusk and dawn.<br><br><b>Features:</b><ul><li><b>Model:</b> STC-XV4</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> STC-XV4</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446455/299932/GSMSTCXV4__28533.1573512114.jpg?c=2&imbypass=on,,$199.99,Stealth Cam,446465,NA,Stealth Cam WXV-Verizon Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam WXV-Verizon Cellular Camera</b> incorporates high speed modems for fast 4G/LTE wireless image and video transmission. It features a 22 Megapixel No Glo camera capable of recording high definition video with audio.<br><br><b>Features:</b><ul><li><b>Model:</b> STC-GXVRW</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> STC-GXVRW</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446465/299942/GSMSTCGXVRW__12950.1573512128.jpg?c=2&imbypass=on,,$249.99,Stealth Cam,446467,NA,Stealth Cam WXA-AT&T Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam WXA-AT&amp;T Cellular Camera</b> incorporates high speed modems for fast 4G/LTE wireless image and video transmission. It features a 22 Megapixel No Glo camera capable of recording high definition video with audio.<br><br><b>Features:</b><ul><li><b>Model:</b> STC-GXATW</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> STC-GXATW</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446467/299944/GSMSTCGXATW__00129.1573512130.jpg?c=2&imbypass=on,,$249.99,Stealth Cam,446465,NA,Stealth Cam WXV-Verizon Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        Ready from the package to the field, the <b>Stealth Cam QS24NGK Compact Scouting Camera</b> is a 12 MP compact scouting camera with a 60-feet range designed to capture wildlife activities.<br><br><b>Features:</b><ul><li><b>Model:</b> STCQSI24NGK</li><li> Burst Mode feature that delivers 1-3 images per triggering </li><li> 8 AA batteries and 8 GB SD care included  </li><li> HD recording with sound </li><li> 24 LED No Glo IR Flash </li><li> Time, date, and moon phase stamps </li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li><b>Model:</b> STCQSI24NGK</li><li> Burst Mode feature that delivers 1-3 images per triggering </li><li> 8 AA batteries and 8 GB SD care included  </li><li> HD recording with sound </li><li> 24 LED No Glo IR Flash </li><li> Time, date, and moon phase stamps </li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446336/299819/GSMSTCQSI24NGK__52447.1573149327.jpg?c=2&imbypass=on,,$74.99,Stealth Cam,446467,NA,Stealth Cam WXA-AT&T Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam QS24NGK</b> is designed with a 60-foot range to capture wildlife and is 12.0 Megapixels. It is also equipped with a mini USB output for quick downloading capabilities in the field.<br><br><b>Features:</b><ul><li><b>Model:</b> STC-QS24NGKX</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> STC-QS24NGKX</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446457/299934/GSMSTCQS24NGKX__04459.1573512117.jpg?c=2&imbypass=on,,$119.99,Stealth Cam,446467,NA,Stealth Cam WXA-AT&T Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam QS12</b> is a 12 Megapixel camera that has video recordings of 5, 10, or 15 seconds. 12 IR Emitters help you get the perfect shot of your target.<br><br><b>Features:</b><ul><li><b>Model:</b>STC-QS12</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b>STC-QS12</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446459/299936/GSMSTCQS12__98011.1573512120.jpg?c=2&imbypass=on,,$59.99,Stealth Cam,446467,NA,Stealth Cam WXA-AT&T Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam PX18 Game Camera Combo</b> is a trail cam engineered with multiple setting options and functionality that doesn't require hours reading a manual to operate. It features a minimum USB output for quick downloading in the field and is neutral gray in color to blend into background for a more natural habitat.<br><br><b>Features:</b><ul><li><b>Model:</b> STC-PX18FXCMO</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> STC-PX18FXCMO</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446460/299937/GSMSTCPX18FXCMO__59110.1573512123.jpg?c=2&imbypass=on,,$99.99,Stealth Cam,446467,NA,Stealth Cam WXA-AT&T Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam G34 Pro</b> is 10% smaller than the original G series and is designed with a dull matte finish providing no unwanted reflections. It features full HD video recording with audio and can be customized to capture targets at specified distances day or night.<br><br><b>Features:</b><ul><li><b>Model:</b> STC-G34</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> STC-G34</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446471/299948/GSMSTCG34__34689.1573512135.jpg?c=2&imbypass=on,,$129.99,Stealth Cam,446467,NA,Stealth Cam WXA-AT&T Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Stealth Cam DS4K</b> is the world's first 4K digital trail camera. It comes equipped with ultra high definition and 30 MP high resolution still images. It features dual image sensors, one optimized for low light night time imaging and the other for hi-resolution day time imaging.<br><br><b>Features:</b><ul><li><b>Model:</b> STC-DS4K</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li><b>Model:</b> STC-DS4K</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446469/299946/GSMSTCDS4K__33883.1573512133.jpg?c=2&imbypass=on,,$249.99,Stealth Cam,446467,NA,Stealth Cam WXA-AT&T Cellular Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>SPYPOINT LINK-MICRO-V Cellular Trail Camera</b> features a compact design, the smallest on the market, while maintaining a robust list of features to make sure you�re getting the intel you need. It's powered by eight AA batteries,not included, and is compatible with the 12v battery kit and the range extending antenna. It's a great addition when you need the added concealment of a small camera.<br><br>The LINK-MICRO-V Cellular Trail Camera offers:<ul><li>Photo-mode only camera</li><li>Multishot up to 2 shots per detection</li><li>Compatible with the 12v battery kit</li></ul><b>Features:</b><ul><li><b>Model:</b> LINK-MICRO-V</li><li><b>Megapixels:</b> 10</li><li><b>Trigger Speed:</b> 0.5 Seconds</li><li><b>Flash Range:</b> 80 ft</li><li><b>Detection Range:</b> 80 ft</li><li><b>Memory Card:</b> Up to 32 GB</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Photo-mode only camera</li><li>Multishot up to 2 shots per detection</li><li>Compatible with the 12v battery kit</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446407/299887/SPPLINKMICROV__22369.1573251109.jpg?c=2&imbypass=on,,$149.99,SPYPOINT,446409,NA,SPYPOINT FORCE-DARK Ultra Compact Trail Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>SPYPOINT LINK-EVO-V Trail Camera</b> has the easiest activation on the market and comes complete with home to field service by SPYPOINT and is connected to the Verizon network. Manage your account, camera settings and photos through the FREE app. The camera uses 42 high-power low glow LEDs for great image quality at night and the infrared boost technology allows you to maximise the lighting when it counts. You now have access to the best of both worlds; video mode and receiving real time photos on your smart phone.<br><br>The LINK-EVO-V Trail Camera offers:<ul><li>42 high-power low glow LEDs</li><li>Take up to 2 pictures per detection</li><li>Infrared boost technology</li><li>Requires an SD/SDHC card up to 32 GB (not included)</li><li>Detects movement up to 80 ft away</li></ul><br><b>Features:</b><ul><li><b>Model:</b> LINK-EVO-V</li><li><b>Network:</b> Verizon 4G (EV-DO)</li><li><b>Photo Quality:</b> 12 MP</li><li><b>Video Quality:</b> 720p HD</li><li><b>Flash Range:</b> 90 ft</li><li><b>Trigger Speed:</b> 0.3 seconds</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>42 high-power low glow LEDs</li><li>Take up to 2 pictures per detection</li><li>Infrared boost technology</li><li>Requires an SD/SDHC card up to 32 GB (not included)</li><li>Detects movement up to 80 ft away</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/330710/86052/apirsztz1__27166.1561065296.jpg?c=2&imbypass=on,,$249.99,SPYPOINT,446407,NA,SPYPOINT LINK-MICRO Cellular Trail Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>SPYPOINT FORCE-DARK Ultra Compact Trail Camera</b> is a feature-packed camera that makes a great addition to any scouting program. It uses virtually undetectable invisible LEDs that produce no visible flash when used on the no-glow setting while SPYPOINT�s hybrid illumination technology allows you to select one of four flash settings to suit your needs. The FORCE-DARK is also equipped with the industry�s fastest trigger speed, a sizzling 0.07 second meaning when the detection sense is tripped, the camera comes out of sleep mode and starts taking photos in just milliseconds. That results fewer wasted images to game that has already passed by, instantly improving your scouting results.<br><br>The FORCE-DARK Ultra Compact Trail Camera offers:<ul><li>Hybrid illumination technology</li><li>Boost or Blur reduction setting</li><li>Invisible LEDs to produce no visible flash when on no-glow</li></ul><b>Features:</b><ul><li><b>Model:</b> FORCE-DARK</li><li><b>Megapixels:</b> 12</li><li><b>Trigger Speed:</b> 0.7 Seconds</li><li><b>Flash Range:</b> 80 ft</li><li><b>Detection Range:</b> 110 ft</li><li><b>Screen:</b> 2""</li><li><b>Video Definition:</b> 1080p</li><li><b>Memory Card:</b> Up to 32 GB</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Hybrid illumination technology</li><li>Boost or Blur reduction setting</li><li>Invisible LEDs to produce no visible flash when on no-glow</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446409/299889/SPPFORCEDARK__42565.1573251114.jpg?c=2&imbypass=on,,$129.99,SPYPOINT,332292,NA,SPYPOINT FORCE-10 Game Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>SPYPOINT FORCE-20 Ultra Compact Trail Camera</b> captures images at an impressive 20 megapixels meaning no detail is missed. The straight-forward interface is intuitive and easy to use, letting you get it into the field quickly, and start monitoring your game. The FORCE-20 also features multi-shot, time-lapse, and video modes. The multi-shot mode can capture up to five images per detection, and the time lapse schedule can be programmed to your specific time preferences.<br><br>The FORCE-20 Ultra Compact Trail Camera offers:<ul><li>16 GB SD card</li><li>Multi Shot, Time-lapse and Video modes</li><li>48 low-glow LEDs</li></ul><b>Features:</b><ul><li><b>Model:</b> FORCE-20</li><li><b>Megapixels:</b> 20</li><li><b>Trigger Speed:</b> 0.7 Seconds</li><li><b>Flash Range:</b> 80 ft</li><li><b>Detection Range:</b> 70 ft</li><li><b>Screen:</b> 1.5""</li><li><b>Video Definition:</b> 720p</li><li><b>Memory Card:</b> Up to 32 GB</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li>16 GB SD card</li><li>Multi Shot, Time-lapse and Video modes</li><li>48 low-glow LEDs</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446413/299893/SPPFORCE20__83269.1573251118.jpg?c=2&imbypass=on,,$99.99,SPYPOINT,332292,NA,SPYPOINT FORCE-10 Game Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>SPYPOINT FORCE-11D Game Camera</b> captures 11 megapixel photos or HD videos in color by day &amp; black-and-white by night. The camera uses high-power super low glow LEDs combined with the blur reduction technology to have the best image quality at night. It is the perfect camera to avoid disturbing or spooking your game. The curved motion sensor lens improves the detection angle and distance of its 5 detection zones. The detection range can also be adjusted from 5' to 80'.<br><br>The FORCE-11D Game Camera offers:<ul><li>42 high-power low glow LEDs</li><li>Take up to 6 pictures per detection</li><li>Infrared boost technology</li><li>Requires an SD/SDHC card up to 32 GB (not included)</li><li>Detects movement up to 80 ft away</li><li>Sound recording video</li></ul><br><b>Features:</b><ul><li><b>Model:</b> FORCE-11D</li><li><b>Photo Quality:</b> 11 MP</li><li><b>Video Quality:</b> 720p HD</li><li><b>Flash Range:</b> 100 ft</li><li><b>Trigger Speed:</b> 0.7 seconds</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>42 high-power low glow LEDs</li><li>Take up to 6 pictures per detection</li><li>Infrared boost technology</li><li>Requires an SD/SDHC card up to 32 GB (not included)</li><li>Detects movement up to 80 ft away</li><li>Sound recording video</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/332249/86901/api6t2ejf__98887.1561065896.jpg?c=2&imbypass=on,,$149.99,SPYPOINT,332292,NA,SPYPOINT FORCE-10 Game Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Primos Proof Cam Gen 2 - 02 Game Camera</b> is built for one purpose - to give hunters the most reliable, most simple-to-use camera money can buy with all the functions that really matter and none of the extras that don't. Now Primos new Proof Gen 2 line offers faster recovery, better detection distance, and best in class performance. With a faster 1-second recovery rate you""ll get more pics with fewer blanks. The new auto exposure feature means better light detection with no more whiteouts. Add in its illuminated sliding switches, 720 HD video and timelapse, plus a 1 year battery life and you""ll see nothing performs like the Proof Cam Gen 2.<br><br>The Proof Cam Gen 2 - 02 Game Camera offers:<ul><li>Faster 1-second recovery rate for more pics with fewer blanks</li><li>New auto exposure feature for better light detection with no more whiteouts</li><li>Simple set-up</li><li>Illuminated sliding switches</li><li>36 low glow LED's</li><li>720P HD video and timelapse</li><li>1 year battery life on 8 AA Batteries</li></ul><br><b>Features:</b><ul><li><b>Model:</b> 64055</li><li><b>Night Range:</b> 100 ft</li><li><b>Resolution:</b> 16 mp</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Faster 1-second recovery rate for more pics with fewer blanks</li><li>New auto exposure feature for better light detection with no more whiteouts</li><li>Simple set-up</li><li>Illuminated sliding switches</li><li>36 low glow LED's</li><li>720P HD video and timelapse</li><li>1 year battery life on 8 AA Batteries</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/333059/88030/apimnr1hx__06863.1561066784.jpg?c=2&imbypass=on,,$149.99,Primos,333067,NA,Primos Proof Cam Gen 2 - 01 Game Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Primos Proof Cam Gen 2 - 01 Game Camera</b> is built for one purpose - to give hunters the most reliable, most simple-to-use camera money can buy with all the functions that really matter and none of the extras that don't. Now Primos new Proof Gen 2 line offers faster recovery, better detection distance, and best in class performance. With a faster 1-second recovery rate you""ll get more pics with fewer blanks. The new auto exposure feature means better light detection with no more whiteouts. Add in its illuminated sliding switches, 720 HD video and timelapse, plus a 1 year battery life and you""ll see nothing performs like the Proof Cam Gen 2.<br><br>The Proof Cam Gen 2 - 01 Game Camera offers:<ul><li>Faster 1-second recovery rate for more pics with fewer blanks</li><li>New auto exposure feature for better light detection with no more whiteouts</li><li>Simple set-up</li><li>Illuminated sliding switches</li><li>36 low glow LED's</li><li>720P HD video and timelapse</li><li>1 year battery life on 8 AA Batteries</li></ul><br><b>Features:</b><ul><li><b>Model:</b> 64054</li><li><b>Night Range:</b> 80 ft</li><li><b>Resolution:</b> 12 mp</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Faster 1-second recovery rate for more pics with fewer blanks</li><li>New auto exposure feature for better light detection with no more whiteouts</li><li>Simple set-up</li><li>Illuminated sliding switches</li><li>36 low glow LED's</li><li>720P HD video and timelapse</li><li>1 year battery life on 8 AA Batteries</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/333067/88042/apiuleao2__45034.1561066789.jpg?c=2&imbypass=on,,$119.99,Primos,333059,NA,Primos Proof Cam Gen 2 - 02 Game Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>MUDDY Pro-Cam 16 Trail Camera Bundle</b> comes with everything you need to get started; the Browning Pro-Cam 16MP Trail Camera, 6 AA batteries, and a 16GB memory card.  Simple to program and easy to navigate through settings any time of day with the backlit LCD screen.<br><br><b>Features:</b><ul><li><b>Model:</b> MTC200X</li><li><b>SIZE:</b> 4.75"" H x 4.25"" W x 2.5"" D</li><li><b>SCREEN:</b> Backlit LCD Screen</li><li><b>FLASH RANGE:</b> 50 feet</li><li><b>LEDS:</b> 18</li><li><b>IMAGE QUALITY:</b> 16 Megapixel</li><li><b>TRIGGER DELAY:</b> 7 Options: 10 Sec - 30 Min.</li><li><b>IMAGE DATA:</b> Camera ID, Date, Time, Temp, &amp; Moon Phase</li><li><b>VIDEO:</b> 4 Options: 10 - 60 Seconds Length</li><li><b>MOUNTING OPTIONS:</b> Adjustable Strap with Buckle; Alternate: 1/4"" - 20</li><li><b>THEFT DETERRENCE:</b> Cable Lock and Padlock Ready</li><li><b>BATTERY TYPE:</b> 6 AA or 12V DC Alternate Power Option</li><li><b>COLOR:</b> Non-Reflective Brown</li><li><b>MATERIAL:</b> Molded ABS; Waterproof Housing</li><li><b>MEMORY:</b> Requires Secure Digital Card, Up to 32GB</li><li><b>PRODUCT WARRANTY:</b> 1 Year</li><li><b>OPERATING TEMP:</b> -10 Degrees F to 140 Degrees F</li><li><b>DETECTION RANGE:</b> 50'</li><li><b>FIELD OF VIEW:</b> 3 Zone + 50 Degree Detection Angle</li><li><b>BURST INTERVAL:</b> 2 Seconds</li><li><b>BATTERY LIFE:</b> Up to 10,000 Images</li></ul>
        <!-- snippet location product_description -->
    </div>","<ul><li><b>Model:</b> MTC200X</li><li><b>SIZE:</b> 4.75"" H x 4.25"" W x 2.5"" D</li><li><b>SCREEN:</b> Backlit LCD Screen</li><li><b>FLASH RANGE:</b> 50 feet</li><li><b>LEDS:</b> 18</li><li><b>IMAGE QUALITY:</b> 16 Megapixel</li><li><b>TRIGGER DELAY:</b> 7 Options: 10 Sec - 30 Min.</li><li><b>IMAGE DATA:</b> Camera ID, Date, Time, Temp, &amp; Moon Phase</li><li><b>VIDEO:</b> 4 Options: 10 - 60 Seconds Length</li><li><b>MOUNTING OPTIONS:</b> Adjustable Strap with Buckle; Alternate: 1/4"" - 20</li><li><b>THEFT DETERRENCE:</b> Cable Lock and Padlock Ready</li><li><b>BATTERY TYPE:</b> 6 AA or 12V DC Alternate Power Option</li><li><b>COLOR:</b> Non-Reflective Brown</li><li><b>MATERIAL:</b> Molded ABS; Waterproof Housing</li><li><b>MEMORY:</b> Requires Secure Digital Card, Up to 32GB</li><li><b>PRODUCT WARRANTY:</b> 1 Year</li><li><b>OPERATING TEMP:</b> -10 Degrees F to 140 Degrees F</li><li><b>DETECTION RANGE:</b> 50'</li><li><b>FIELD OF VIEW:</b> 3 Zone + 50 Degree Detection Angle</li><li><b>BURST INTERVAL:</b> 2 Seconds</li><li><b>BATTERY LIFE:</b> Up to 10,000 Images</li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/443766/295474/MUDMTC200X__32551.1569621739.jpg?c=2&imbypass=on,,$79.99,Stealth Cam,322105,NA,Stealth Cam Infrared Scouting Camera Bundle,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Moultrie XA7000i Cellular Trail Camera</b> combines the quality and reliability of Moultrie game cameras with its revoluationary Moultrie Mobile technology to deliever game-camera images from the field straight to your smartphone, tablet and computer devices. Operating on the AT&amp;T 4G cellular network, the XA7000i is loaded with advanced features like 20 MP images, invisible flash, and the ILLUMNI-NIGHT 2 sensor.<br><br>The XA7000i Cellular Trail Camera offers:<ul><li>Camera operates on AT&amp;T 4G Network</li><li>Invisible flash</li><li>Access to images on the Moultrie Mobile app</li></ul><b>Features:</b><ul><li><b>Model:</b> MCG-13310</li><li><b>Megapixels:</b> 20</li><li><b>Trigger Speed:</b> 0.3 Second</li><li><b>Flash Range:</b> 80 ft</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>Camera operates on AT&amp;T 4G Network</li><li>Invisible flash</li><li>Access to images on the Moultrie Mobile app</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446417/299898/MOUMCG13310__60177.1573251127.jpg?c=2&imbypass=on,,$179.99,Moultrie,443768,NA,Moultrie XV7000i Verizon Cellular Trail Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Moultrie M8000i Game Camera</b> is a compact camera loaded with high-end features. Those features include Moultrie's ILLUMNI-NIGHT 2 sensor for bright and clear images, full compatibility with Moultrie's Mobile MV2 and MA2 cellular field modems, and invisible flash.<br><br>The M8000i Game Camera offers:<ul><li>HD video recording</li><li>Invisible flash</li><li>80 ft detect and flash range</li></ul><b>Features:</b><ul><li><b>Model:</b> MCG-13332</li><li><b>Megapixels:</b> 20</li><li><b>Trigger Speed:</b> 0.3 Second</li><li><b>Flash Range:</b> 80 ft</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>HD video recording</li><li>Invisible flash</li><li>80 ft detect and flash range</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446415/299895/MOUMCG13332__46605.1573251122.jpg?c=2&imbypass=on,,$159.99,Moultrie,446404,NA,Moultrie M4000i 16 MP Game Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Moultrie M4000i Game Camera</b> is a compact camera loaded with exceptional features. Those features include Moultrie's ILLUMNI-NIGHT 2 sensor for bright and clear images, full compatibility with Moultrie's Mobile MV2 and MA2 cellular field modems, and invisible flash. It's ideal for feed sites, trails, rub and scrape lines or anywhere deer are on the move.<br><br>The M4000i Game Camera offers:<ul><li>HD video recording</li><li>Invisible flash</li><li>80 ft detect and flash range</li></ul><b>Features:</b><ul><li><b>Model:</b> MCG-13333</li><li><b>Megapixels:</b> 16</li><li><b>Trigger Speed:</b> 0.7 Second</li><li><b>Flash Range:</b> 80 ft</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>HD video recording</li><li>Invisible flash</li><li>80 ft detect and flash range</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446404/299884/MOUMCG13333__10346.1573251101.jpg?c=2&imbypass=on,,$119.99,Moultrie,446412,NA,Moultrie A700 14 MP Game Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Moultrie A700 Game Camera</b> is a workhorse with amazing camera features. Features include Moultrie's ILLUMNI-NIGHT sensor for bright and clear images and full compatibility with Moultrie's Mobile MV2 and MA2 cellular field modems. It's perfect for basic scouting needs, feeder sites and is an ideal user-friendly entry-level camera.<br><br>The A700 Game Camera offers:<ul><li>HD video recording</li><li>Long range infrared flash</li><li>60 ft detect and flash range</li></ul><b>Features:</b><ul><li><b>Model:</b> MCG-13334</li><li><b>Megapixels:</b> 14</li><li><b>Trigger Speed:</b> 0.7 Second</li><li><b>Flash Range:</b> 60 ft</li></ul>
        <!-- snippet location product_description -->
    </div>",<ul><li>HD video recording</li><li>Long range infrared flash</li><li>60 ft detect and flash range</li></ul>,https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446412/299892/MOUMCG13334__03473.1573251118.jpg?c=2&imbypass=on,,$99.99,Moultrie,446404,NA,Moultrie M4000i 16 MP Game Camera,NA
"<div class=""tab-content is-active"" id=""tab-description"">
        The <b>Cuddeback Lidcam Pro Series w/WiFi</b> is the perfect accessory for hunters and outdoor enthusiasts to record their own experiences. The Lidcam features a Wide Angle lens to capture everything in sight and weighs only 4 ounces making it easy to clip to the bill of any baseball hat.<br><br><b>Features:</b><ul><li><b>Model:</b> LC-WF
        <!-- snippet location product_description -->
    </li></ul></div>","<ul><li><b>Model:</b> LC-WF
        <!-- snippet location product_description -->
    </li></ul>",https://cdn11.bigcommerce.com/s-2cqhy8s7s9/images/stencil/1280x1280/products/446431/299914/RHILCWF__45477.1573512075.jpg?c=2&imbypass=on,,$169.99,Mitchell,345646,NA,Mitchell PRO Spin Reel Series,NA
